country_code,sector_id,to_node,Industry,actual_capacity,unit_capacity,conversion_production,actual_capacity_converted,unit,2018
EE,chemical,other-chemicals,other-chemicals-production-reference,22.7471461663554,kt ethylene eq.,1.0,22.7471461663554,kt_ethylene_eq_yr,22.7471461663554
EE,chemical,pharmaceuticals,pharmaceuticals-production-reference,3.654248377956399,kt ethylene eq.,1.0,3.654248377956399,kt_ethylene_eq_yr,3.654248377956399
EE,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,1383.5153051182615,TJ,277.78,384312.8814557506,mwh_yr,384312.8814557506
EE,machinery-equipment,machinery-equipment,machinery-equipment-production-reference,949.7714967148096,TJ,277.78,263827.52635743975,mwh_yr,263827.52635743975
EE,non-ferrous-metals,alumina,alumina-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
EE,non-ferrous-metals,aluminium-primary,aluminium-primary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
EE,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
EE,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-reference,5.397520058351567,kt lead eq.,1.0,5.397520058351567,kt_lead_eq_yr,5.397520058351567
EE,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,6.86015565280257,kt bricks eq.,1.0,6.86015565280257,kt_bricks_eq_yr,6.86015565280257
EE,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-reference,930.2907416103212,TJ,277.78,258416.162204515,mwh_yr,258416.162204515
EE,pulp-and-paper,paper,paper-production-reference,70.4,kt,1.0,70.4,kt_yr,70.4
EE,pulp-and-paper,printing-and-media,printing-and-media-production-reference,67.67228915662652,kt paper eq.,1.0,67.67228915662652,kt_paper_eq_yr,67.67228915662652
EE,pulp-and-paper,pulp,pulp-production-reference,260.0,kt,1.0,260.0,kt_yr,260.0
