configuration_id;configuration;configuration_product_id;horizon;is_mix;is_reference_route;configuration_active;data_source_id;configuration_abbreviation;configuration_description;configuration_remark;configuration_source;configuration_year;mix_2018;mix_2030;mix_2040;mix_2050
215;EU-mix-2018;21;2018;1;0;1;0;EAF/LM-CC/RM/scrap;Electric Arc Furnace,Ladle Metal. & Cont.Casting,Rolling Mill,EAF Scraps handling;NULL;NULL;2018;1;0;0;0
216;EU-mix-2030;21;2030;1;0;1;0;EAF/LM-CC/RM/scrap;Electric Arc Furnace,Ladle Metal. & Cont.Casting,Rolling Mill,EAF Scraps handling;NULL;NULL;2018;0;1;0;0
217;EU-mix-2040;21;2040;1;0;1;0;EAF/LM-CC/RM/scrap;Electric Arc Furnace,Ladle Metal. & Cont.Casting,Rolling Mill,EAF Scraps handling;NULL;NULL;2018;0;0;1;0
218;EU-mix-2050;21;2050;1;0;1;0;EAF/LM-CC/RM/scrap;Electric Arc Furnace,Ladle Metal. & Cont.Casting,Rolling Mill,EAF Scraps handling;NULL;NULL;2018;0;0;0;1
219;Import NH3;11;NULL;0;0;1;NULL;Import NH3;Import of ammonia;There is no capex, constant opex, direct emissions or captured CO2 for this configuration;NULL;2025;0;0;0;0
220;chlorine production;118;NULL;0;1;1;4;chlorine production;chlorine production;NULL;NULL;2019;0;0;0;0
221;ethane cracker H2+CH4;7;NULL;0;0;1;4;ethane cracker H2+CH4;ethane cracker that uses natural gas and hydogen for heat;ethane cracker that uses both CH4 and self-produced H2 to produce heat;NULL;2019;0;0;0;0
222;(72LN+18BN-Local+10PN)O;10;NULL;0;0;1;5;(72LN+18BN-Local+10PN)O;same as configuration 82, but with 18% bio-naphtha from local biomass and 10% py-naphtha;Route based on configuration_id = 82, but with part naphtha replaced with bio-naphtha (based on local biomass);NULL;2018;0;0;0;0
223;(72LN+18BN-Local+10PN)O-MEA;10;NULL;0;0;1;5;(72LN+18BN-Local+10PN)O-MEA;same as configuration 83, but with 18% bio-naphtha from local biomass and 10% py-naphtha;Route based on configuration_id = 83, but with part naphtha replaced with bio-naphtha (based on local biomass);NULL;2018;0;0;0;0
224;(72LN+18BN-Local+10PN+EL)O;10;NULL;0;0;1;5;(72LN+18BN-Local+10PN+EL)O;same as configuration 84, but with 18% bio-naphtha from local biomass and 10% py-naphtha;Route based on configuration_id = 84, but with part naphtha replaced with bio-naphtha (based on local biomass);NULL;2018;0;0;0;0
225;(0LN+18BN-Local+82BN-Import)O;10;NULL;0;0;1;5;(0LN+18BN-Local+82BN-Import)O;same as configuration 82, but with 18% bio-naphtha from local biomass and 82% bio-naphtha from import biomass;Route based on configuration_id = 82, but with all naphtha replaced with bio-naphtha (based on both local biomass and imported biomass);NULL;2018;0;0;0;0
226;(0LN+18BN-Local+82BN-Import)O-MEA;10;NULL;0;0;1;5;(0LN+18BN-Local+82BN-Import)O-MEA;same as configuration 83, but with 18% bio-naphtha from local biomass and 82% bio-naphtha from import biomass;Route based on configuration_id = 83, but with all naphtha replaced with bio-naphtha (based on both local biomass and imported biomass);NULL;2018;0;0;0;0
227;(0LN+18BN-Local+82BN-Import+EL)O;10;NULL;0;0;1;5;(0LN+18BN-Local+82BN-Import+EL)O;same as configuration 84, but with 18% bio-naphtha from local biomass and 82% bio-naphtha from import biomass;Route based on configuration_id = 84, but with all naphtha replaced with bio-naphtha (based on both local biomass and imported biomass);NULL;2018;0;0;0;0
228;MIX-2030 (4.5FT-Local+4.5BMeOH-Local);18;2030;1;0;1;5;MIX-2030 (4.5FT-Local+4.5BMeOH-Local);New mix route with 4.5% FT and 4.5% bio-methanol from local biomass;Route based on configuration_id = 196, but based on realistically available local biomass for fuel sector;NULL;2018;0;0;0;0
229;MIX-2050 (14.5FT-Local+14.5BMeOH-Local);18;2050;1;0;1;5;MIX-2050 (14.5FT-Local+14.5BMeOH-Local);New mix route with 14.5% FT and 14.5% bio-methanol from local biomass;Route based on configuration_id = 198, but based on realistically available local biomass for fuel sector;NULL;2018;0;0;0;0
230;MIX-2030 (4.5FT-Local+4.5BMeOH-Local+45.5FT-Import+45.5BMeOH-Import);18;2030;1;0;1;5;MIX-2030 (4.5FT-Local+4.5BMeOH-Local+45.5FT-Import+45.5BMeOH-Import);New mix route with 4.5% FT and 4.5% bio-methanol from local biomass + 45.5% FT and 45.5% bio-methanol from import biomass;Route based on configuration_id = 196, but based on 100% local biomass and biomass import for fuel sector;NULL;2018;0;0;0;0
231;MIX-2050 (14.5FT-Local+14.5BMeOH-Local+35.5FT-Import+35.5BMeOH-Import);18;2050;1;0;1;5;MIX-2050 (14.5FT-Local+14.5BMeOH-Local+35.5FT-Import+35.5BMeOH-Import);New mix route with 14.5% FT and 14.5% bio-methanol from local biomass + 35.5% FT and 35.5% bio-methanol from import biomass;Route based on configuration_id = 198, but based on 100% local biomass and biomass import for fuel sector;NULL;2018;0;0;0;0
232;(78MeOH+22BMeOH-Local)O;10;NULL;0;0;1;5;(78MeOH+22BMeOH-Local)O;same as configuration 85, but with 22% bio-methanol from local biomass;Route based on configuration_id = 87, but with part MeOH replaced with bio-MeOH (based on local biomass);NULL;2018;0;0;0;0
233;(78MeOH+22BMeOH-Local)O-MEA;10;NULL;0;0;1;5;(78MeOH+22BMeOH-Local)O-MEA;same as configuration 86, but with 22% bio-methanol from local biomass;Route based on configuration_id = 88, but with part MeOH replaced with bio-MeOH (based on local biomass);NULL;2018;0;0;0;0
234;(0MeOH+22BMeOH-Local+78BMeOH-Import)O;10;NULL;0;0;1;5;(0MeOH+22BMeOH-Local+78BMeOH-Import)O;same as configuration 85, but with 22% bio-methanol from local biomass and 78% bio-methanol from import biomass;Route based on configuration_id = 87, but with all MeOH replaced with bio-MeOH (based on both local biomass and imported biomass);NULL;2018;0;0;0;0
235;(0MeOH+22BMeOH-Local+78BMeOH-Import)O-MEA;10;NULL;0;0;1;5;(0MeOH+22BMeOH-Local+78BMeOH-Import)O-MEA;same as configuration 85, but with 22% bio-methanol from local biomass and 78% bio-methanol from import biomass;Route based on configuration_id = 88, but with all MeOH replaced with bio-MeOH (based on both local biomass and imported biomass);NULL;2018;0;0;0;0
236;(100BN-Local)O;10;NULL;0;0;1;5;(100BN-Local)O;same as configuration 82, but with 100% bio-naphtha from local biomass;NULL;NULL;2018;0;0;0;0
237;(100BN-Local)O-MEA;10;NULL;0;0;1;5;(100BN-Local)O-MEA;same as configuration 82, but with 100% bio-naphtha from local biomass;NULL;NULL;2018;0;0;0;0
238;(100BN-Local+EL)O;10;NULL;0;0;1;5;(100BN-Local+EL)O;same as configuration 82, but with 100% bio-naphtha from local biomass;NULL;NULL;2018;0;0;0;0
239;ethane cracker electrified;7;NULL;0;0;1;4;ethane cracker electrified;ethane cracker electrified;NULL;NULL;2019;0;0;0;0
240;ethane cracker CH4;7;NULL;0;0;1;4;ethane cracker CH4;ethane cracker that used natural gas for heat;ethane cracker that uses only CH4 to produce heat;NULL;2019;0;0;0;0
241;ethane cracker H2+CH4 with CCS;7;NULL;0;0;1;4;ethane cracker H2+CH4 with CCS;ethane cracker with CCS that uses natural gas and hydrogen for heat;ethane cracker that uses both CH4 and self-produced H2 to produce heat;NULL;2019;0;0;0;0
